						
 	Title	Views	Likes	Comments		
	ĐỔI ĐỜI CHỈ SAU 1 ĐÊM…Cô gái trẻ dùng số tiền CỰC LỚN để đổi lấy căn nhà mơ ước. Tập 679	"13,352"	500	36		
	Hoàn cảnh quá KHÓ KHĂN của người mẹ trẻ sống cùng con trong CĂN NHÀ ĐƠN SƠ. Tập 678	"10,211"	235	12		
	8 năm BỊ LỪA Ở ĐỢ người phụ nữ đã thoát về quê nhà cuộc sống quá KHÓ KHĂN. Tập 677	"6,481"	191	9		
	NGƯỜI PHỤ NỮ ăn rau rừng cá suối để TỒN TẠI trong căn chòi TE TUA. Tập 676	"3,652"	149	7		
	NGƯỜI PHỤ NỮ sống trong căn chòi 2 vách phải ăn lá rừng sống qua ngày. Tập 675	"4,488"	163	5		
	Ở trong căn chòi vịt MỤC NÁT nhặt hạt điều mỗi ngày đổi GẠO ăn. Tập 674	"6,740"	185	10		
	Cha mẹ NGHIỆN RƯỢU qua đời cô gái trẻ lập gia đình ở trong căn chòi rách TE TUA Tập. 672	"56,813"	452	18		
	10 NĂM sống trong căn nhà nát giữa rừng ngủ chung với GÀ căn nhà BỐC MÙI. Tập 671	"6,706"	246	23		
	LỜI HỨA thực hiện ƯỚC MƠ cho 3 mẹ con sống trong rừng. Tập 670	"20,613"	454	21		
	MTQ vượt nửa vòng trái đất quay trở về tận tay trao tặng tình thương cho người nghèo. Tập 669	"4,210"	270	26		
	“ NGHÈO RỚT MỒNG TƠI “ 2 vợ chồng sống biệt lập trong rừng bữa đói bữa no. Tập 668	"4,676"	261	11		
	Phát hiện RẮN LỤC CỰC ĐỘC trong khu rừng #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"20,909"	134	1		
	“ ĐỔI ĐỜI CHỈ SAU MỘT ĐÊM “ Hành trình thực hiện ƯỚC MƠ đầy gian nan. Tập 667	"12,072"	476	29		
	"2 VỢ CHỒNG NGHÈO phải chịu cảnh đói quanh năm, nhặt hạt điều để đổi lấy GẠO ăn. Tập 666"	"3,599"	150	6		
	Tìm đến căn nhà BÍ ẨN trong khu rừng hoang vắng của người phụ nữ nghèo. Tập 665	"3,107"	170	5		
	NỖI KHỔ TRỒNG ĐẬU SAI ĐẤT NỢ NẦN LÀM SAO GÁNH NỔI?. TẬP 664	"2,804"	141	5		
	Người mẹ NGẬM NGÙI ôm con vào rừng sống vì gia đình quá đông người . Tập 663	"3,327"	208	7		
	Cả đời nghèo đói không có gói mì để ăn #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"2,684"	49	1		
	"Xin hết gà và trứng của CỤ BÀ nghèo sống trong rừng, và phản ứng không thể BẤT NGỜ hơn. Tập 662"	"3,064"	147	7		
	Nghèo đến nỗi không có gói mì để ăn #kếtnốiyêuthương #tiếnnguyễntv #thiệnnguyện	"3,469"	73	0		
	Nơi ở nghèo nhất miền núi của người đàn ông #kếtnốiyêuthương #tiếnnguyễntv #thiệnnguyện	"3,180"	55	0		
	"Người phụ nữ nghèo sống trên đỉnh núi cao, mỗi ngày buôn chuối đổi GẠO để ăn. Tập 661"	"3,201"	178	5		
	"BẤT NGỜ người đàn ông nhiều ngày không tắm, sống trong căn chòi RÁCH NÁT giữa rừng. Tập 660"	"2,351"	128	6		
	Cụ Bà 90 Tuổi Phải Đánh Đổi Một Con Mắt Chỉ Vì MIẾNG ĂN Cả Đời Sống Cực Khổ Trong Rừng | Tập 659	"2,218"	128	7		
	"Người con trai TÂM THẦN tháo xích sắt MẤT TÍCH trong đêm, gia đình cầu xin tìm kiếm | Tập 659"	"1,741"	111	6		
	"Ôm mộng nuôi heo LÀM GIÀU, 2 mẹ con phải sống ở trong khu rừng HẺO LÁNH | Tập 658"	"3,395"	184	7		
	"3 MẸ CON nghèo dắt nhau vào rừng kiếm ăn, sống tạm trong căn nhà CHẮP VÁ | Tập 657"	"4,639"	278	15		
	Cô gái nhỏ tuổi nhất miền núi ôm con vào rừng trú ẩn #kếtnốiyêuthương #tiếnnguyễntv #thiệnnguyện	"2,560"	39	0		
	"Gia đình nghèo 24 năm phải nằm dưới đất mỗi đêm, khiến ai cũng NGỠ NGÀNG vì quá khổ | Tập 656"	"4,251"	265	15		
	THIẾU NỮ 19 tuổi phải đánh đổi cả thanh xuân để học cách làm mẹ và chăm con | Tập 655	"4,111"	195	8		
	“ ĐỊA NGỤC TRẦN GIAN “ người phụ nữ 7 năm mới thoát khỏi sự giam giữ khi đi Ở ĐỢ | Tập 654	"5,125"	229	7		
	NGỠ NGÀNG phát hiện bà lão 24 năm sống cô độc giữa rừng trong căn chòi RÁCH NÁT | Tập 653	"3,386"	165	4		
	"Căn nhà cũ đã được HỒI SINH, 2 vợ chồng Anh Salon vui mừng không nói nên lời | Tập 652"	"8,015"	387	26		
	Căn nhà MƠ ƯỚC đẹp và sang trọng nhất làng đang dần hoàn thiện của anh Salon | Tập 651	"5,804"	312	15		
	Người mẹ trẻ và đứa con bệnh tật đáng thương #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"9,013"	262	3		
	Tuổi già sức yếu bơ vơ giữa núi rừng #tiếnnguyễntv #kếtnốiyêuthương #kếtnốiyêuthương #thinhhanh	"4,446"	60	1		
	"BẤT NGỜ căn nhà của anh Salon bị ĐẬP PHÁ, đổi cũ thay mới quá mừng | Tập 650"	"5,349"	274	14		
	Vượt hơn 400km để đưa mẹ con chị Thuỷ đi khám bệnh và kết quả HẾT CƠ HỘI CỨU CHỮA | Tập 649	"4,468"	230	11		
	Khóc NỨC NỞ vì chồng đột ngột qua đời #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"6,964"	58	1		
	Ngày nào cũng một nồi đu đủ thế này quá khổ #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"10,099"	149	4		
	“ ĐỔI ĐỜI CHỈ SAU MỘT ĐÊM “ của 2 cha con sống 10 năm trong căn chòi thê thảm trong rừng | Tập 648	"24,066"	534	29		
	Ngọn lửa bất ngờ cháy trong rừng #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"1,355"	19	0		
	PHÁT HIỆN ngọn lửa bùng cháy trong chuyến hành trình thực hiện ƯỚC MƠ cho người nghèo | Tập 647	"2,758"	191	10		
	"3 mẹ con sống trong căn nhà THUA CÁI CHUỒNG GÀ, và ƯỚC MƠ to lớn của cậu con út| Tập 646"	"6,024"	267	15		
	"THIẾU NỮ nghèo sống như người rừng, ôm 3 đứa con thơ vào rừng TRÚ ẨN đợi chồng về | Tập 645"	"5,402"	206	11		
	Người vợ quyết SỐNG C.H.Ế.T theo chồng vào rừng ẨN CƯ hơn 10 năm nhặt phân đổi gạo | Tập 644	"3,534"	195	13		
	10 năm sống trong căn nhà còn thua CHUỒNG GÀ cảnh nghèo đói của vợ chồng già kéo dài | Tập 643	"3,605"	189	10		
	Cậu bé sống cùng mẹ trong rừng	"2,741"	40	1		
	"TÁ TÚC trong căn chòi của người dân nghèo, nhiều điều BÍ ẨN về đêm chưa ai biết | Tập 642"	"3,783"	196	10		
	4 BÀ CHÁU sống trong căn chòi giữa rừng tách biệt với xã hội | Tập 641	"3,961"	198	9		
	Người đàn ông lạ mặt đến chòi và phản ứng của người phụ nữ #tiếnnguyễntv #kếtnốiyêuthương	"4,804"	82	2		
	BẤT NGỜ người lạ mặt đến giao hàng cho NGƯỜI PHỤ NỮ sống trong căn chòi MỤC NÁT | Tập 640	"5,638"	234	9		
	"Chồng MÊ GÁI TRẺ chê vợ XẤU XÍ bỏ đi không lời từ biệt, để vợ con sống trong rừng | Tập 639"	"6,195"	270	14		
	Người phụ nữ ngơ ngác chưa biết mình có nhà mới #tiếnnguyễntv #ketnoiyeuthuong #thiệnnguyện	"2,634"	50	1		
	Người mẹ trẻ ôm con vào rừng trú ẩn rắn bao vây vẫn ở #tiếnnguyễntv #kếtnốiyêuthương	"5,323"	92	1		
	Tiến TẶNG ĐIỆN THOẠI cho 2 bà cháu sống trong rừng và cái kết không thể BẤT NGỜ hơn | Tập 638	"5,740"	263	13		
	Lần đầu tiên người phụ nữ nhận được số tiền lớn trong đời #tiếnnguyễntv #kếtnốiyêuthương	"16,432"	169	1		
	HÚ HỒN cứ tưởng bà cụ uống nước bẩn #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"33,234"	177	1		
	NGƯỜI MẸ THIỆT THÒI…sống trong căn chòi rách nát nhặt phân bò nuôi chồng con | Tập 637	"5,819"	264	15		
	XÓT XA người bà nhặt phân bò chịu đói để có tiền mua sữa nuôi 3 đứa bé| Tập 636	"5,783"	245	7		
	Người mẹ bỏ chạy mất dép để lại đứa con #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"24,938"	199	3		
	Cô gái trẻ may mắn nhất miền núi #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"3,371"	66	0		
	Người cô sống như thời nguyên thuỷ quá tội #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"1,173"	27	1		
	Ước mơ đẫm NƯỚC MẮT của 4 bà cháu sống trong căn chòi còn thua cái CHUỒNG GÀ | Tập 635	"7,960"	349	14		
	"10 năm sống trong căn nhà THUA CÁI CHUỒNG GÀ, ông bà cụ đáng thương nhất miền núi | Tập 634"	"13,616"	254	18		
	Lần đầu được cầm số tiền lớn #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện #cuocsong	"119,657"	464	1		
	Ước mơ to lớn đã được thực hiện #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện #cuocsong	"11,911"	96	1		
	Nhiều năm sống trong căn chòi rách nát RẮN ĐỘC bao vây nhưng vẫn ở| Tập 633	"5,782"	234	10		
	"2 BÀ CHÁU mỗi đêm phải ngủ chung với gà, và SỰ THẬT về hoàn cảnh của anh Salon | Tập 642"	"8,419"	295	14		
	Cậu bé bị bỏ rơi đáng thương trước khi có nhà mới #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"15,531"	197	2		
	4 mẹ con nghẹn ngào khi nhận được số tiền lớn trong đời #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"2,947"	36	2		
	GIẢ VỜ bán GẠO với giá rẻ để kiếm tiền sinh sống và sự thật không thể bất ngờ hơn | Tập 641	"15,871"	459	13		
	Bữa ăn ngon nhất cuộc đời của những chú chó rừng #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"6,416"	50	2		
	CÔ GÁI TRẺ ôm con thơ vào rừng sống trong căn chòi RÁCH NÁT nhặt phân bò đổi GẠO | Tập 640	"12,455"	356	15		
	2 BÀ CHÁU nằm dưới nền đất lạnh lẽo trong rừng #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"31,832"	241	4		
	SỰ THẬT đằng sau nơi ở đặc biệt của gia đình nghèo #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"4,591"	50	2		
	SỰ THẬT đằng sau căn chòi rách trong rừng của đôi vợ chồng già | Tập 639	"10,391"	304	16		
	"NGƯỜI PHỤ NỮ nằm dưới nền đất lạnh lẽo trong rừng, mỗi ngày chỉ ăn ĐU ĐỦ thay cơm | Tập 638"	"19,819"	358	17		
	Ước mơ ĐỔI ĐỜI của người mẹ đơn thân đã trở thành SỰ THẬT chỉ sau một đêm | Tập 637	"83,949"	"1,233"	95		
	BẤT NGỜ ĐỔI ĐỜI cầm số tiền lớn người phụ nữ quyết tâm chọn căn nhà MƠ ƯỚC cho cháu | Tập 636	"97,476"	"1,458"	121		
	"3 BÀ CHÁU dắt nhau vào rừng trú ẩn, phải làm điều này để TRẢ NỢ | Tập 635"	"3,471"	187	21		
	"TÀI SẢN là căn chòi đổ nát, người phụ nữ mắc chứng bệnh KÌ LẠ phải đi ăn nhờ ở đậu | Tập 634"	"4,807"	204	8		
	"Cô gái trẻ ôm con vào rừng trú ẩn, đốn củi mỗi ngày nuôi con thơ #kếtnốiyêuthương #tiếnnguyễntv"	"4,795"	61	2		
	"CÔ GÁI TRẺ ôm 3 đứa con vào rừng trú ẩn trong căn chòi rách, nhịn đói vì không đủ gạo ăn | Tập 633"	"13,766"	420	18		
	SỐNG NHƯ NGƯỜI RỪNG phải cùng cháu nằm dưới đất mỗi đêm nơi hoang vắng | Tập 632	"7,768"	340	22		
	"QUÁ THƯƠNG vợ chồng già chăn bò mướn kiếm cơm, mỗi ngày ăn là cây để TỒN TẠI | Tập 631"	"6,386"	267	15		
	"PHÁT HIỆN, gia đình đông con sống trong căn chòi BÍ ẨN ở nơi hẻo lánh trong rừng | Tập 630"	"20,223"	527	24		
	Nhiều năm sống trong HANG ĐÁ mỗi ngày tồn tại với lá ĐU ĐỦ #tiếnnguyễntv #kếtnốiyêuthương #cuocsong	"13,255"	89	1		
	"Chồng chê nghèo đi lấy vợ khác, người phụ nữ phải vào rừng TRÚ ẨN cùng những chú chó | Tập 629"	"21,742"	443	20		
	Sống TẠM BỢ trong căn chòi 3 vách mỗi ngày kiếm củi đổi GẠO để ăn | Tập 628	"10,989"	315	14		
	MẸ ĐƠN THÂN 2 đời chồng đều rời xa tay bế tay bồng ngậm ngùi nuôi con | Tập 627	"31,163"	431	22		
	HÚ HỒN khi gã say rượu bất ngờ lao vào chòi cô gái trẻ #kếtnốiyêuthương #tiếnnguyễntv	"5,768"	91	0		
	"Đưa SỐ TIỀN LỚN cho cô gái nghèo nhất miền núi, và cái kết không thể bất ngờ hơn | Tập 626"	"76,106"	832	26		
	Bị trâu chặn đường vào ngày mưa trên miền núi #kếtnốiyêuthương #tiếnnguyễntv #thiệnnguyện	"6,980"	100	2		
	BẤT NGỜ gặp lại cô gái thật thà nhất miền núi #kếtnốiyêuthương #tiếnnguyễntv	"6,131"	79	0		
	KHẨN CẤP!! Tiến phải đi ngay trong đêm để biết được kết quả khám bệnh của con chị Thuỷ | Tập 625	"19,662"	428	19		
	ĐỔI ĐỜI CHỈ SAU 1 ĐÊM…Người phụ nữ dùng số tiền lớn đổi lấy ngôi nhà MƠ ƯỚC | Tập 624	"240,052"	"2,846"	139		
	CÔ BÉ HIẾU THẢO sống cùng với cha trong căn chòi TẠM BỢ | Tập 623	"9,726"	337	18		
	Chuyến xe thực hiện ngôi nhà mơ ước cho người dân miền núi #kếtnốiyêuthương #tiếnnguyễntv	"7,310"	154	2		
	"CHA MẸ NHẪN TÂM BỎ RƠI, con thơ mồ côi sống cùng bà trong căn chòi mục nát | Tập 622"	"12,828"	429	25		
	CĂN NHÀ ĐẸP LUNG LINH giữa núi rừng. ƯỚC MƠ đã trở thành sự thật | Tập 621	"30,939"	851	45		
	4 MẸ CON dắt nhau vào rừng trú ẩn trong căn chòi sắp SỤP ĐỔ | Tập 620	"12,062"	339	17		
	Khung cảnh triệu đô ở căn nhà cô gái thật thà #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"4,019"	134	1		
	Tiến ghé thăm cô gái thật thà nhất miền núi #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"5,040"	92	1		
	Gió lớn không giữ nổi vách nhà cho người nghèo #thiệnnguyện #kếtnốiyêuthương #tiếnnguyễntv	"7,425"	65	1		
	NGƯỜI PHỤ NỮ sống trong hang đá đầy BÍ ẨN bị hù doạ không dám ngủ | Tập 619	"10,776"	394	13		
	Cô gái miền núi lần đầu xuống phố #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện #thinhhanh #giadinh	"3,680"	63	2		
	Người dân miền núi vui mừng khi nhận được quà #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"3,946"	57	3		
	GIẢ VỜ vào chòi cô gái bán GẠO kiếm tiền mua vé xe để đi làm nhưng bị phát hiện | Tập 618	"20,948"	519	42		
	Cô gái thật thà vui mừng khi nhận được dụng cụ bếp #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"8,380"	119	2		
	2 VỢ CHỒNG sống trong căn chòi rách TE TUA hành nghề nhặt rác nuôi chồng | Tập 617	"8,820"	332	20		
	Cô gái xinh đẹp miền núi bất ngờ nhận nhà mới #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"4,906"	103	6		
	"TAI NẠN bất ngờ vào ngày tết, người đàn ông say rượu lao xe vào nhà em Lệ | Tập 616"	"22,075"	569	19		
	TÁ HOẢ khi chị Cượng đưa Tiến đến nơi làm việc BỐC MÙI nhất vào ngày TẾT| Tập 615	"30,608"	714	39		
	Cô gái thật thà vui mừng khi nhận được quà #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"17,546"	356	3		
	Mùng 1 tết VƯỢT DỐC ĐÁ phát hiện người phụ nữ sống trong căn chòi nát trong rừng | Tập 614	"13,496"	397	21		
	Người phụ nữ bỏ 2 đứa con thơ CHẠY MẤT DÉP khi Tiến đến thăm | Tập 613	"22,985"	640	25		
	Chị Cượng thật thà bất ngờ khi được tặng xe đạp #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương	"7,353"	185	3		
	2 vợ chồng nghèo khóc nức nở vì có tiền chữa bệnh cho con #tiếnnguyễntv #kếtnốiyêuthương	"2,242"	69	1		
	Bất ngờ ĐỔI ĐỜI CHỈ SAU MỘT ĐÊM ước mơ to lớn đã trở thành sự thật | Tập 612	"16,709"	696	38		
	Chuyến xe đong đầy tình thương vào dịp TẾT cho CÔ GÁI may mắn nhất miền núi | Tập 611	"16,006"	525	34		
	Cô gái sống trong HANG ĐÁ sau khi đổi đời bất ngờ RƠI LỆ khi gặp lại Tiến | Tập 610	"12,349"	615	25		
	Chị gái dễ thương cười giòn như bắp rang khi biết tin có nhà mới #tiếnnguyễntv #ketnoiyeuthuong	"5,101"	81	0		
	VỠ OÀ CẢM XÚC cả gia đình vui mừng khi ước mơ đã trở thành sự thật vào ngày TẾT | Tập 609	"60,046"	"1,465"	87		
	Giả vờ rủ chị Cượng đi bán nồi kiếm tiền tết #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương	"12,173"	121	3		
	Chương trình miền núi 10 hộ dân nghèo nào MAY MẮN nhận được quà TẾT đặc biệt | Tập 608	"25,265"	606	25		
	Câu nói nhói lòng vào dịp cận TẾT của người phụ nữ #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương	"5,655"	98	1		
	GIẢ VỜ rủ cô gái thật thà đi bán hàng và kết thúc kỉ niệm đẹp với gia đình chị Cượng | Tập 607	"90,192"	"1,726"	69		
	"100 phần quà TẾT gửi đến bà con nghèo miền núi, năm nay được ẤM NO | Tập 605"	"10,103"	399	25		
	4 MẸ CON không tin vào mắt mình ƯỚC MƠ có nhà mới đã trở thành sự thật | Tập 604	"80,127"	"1,938"	121		
	"Cải tiến căn chòi nát, người phụ nữ vui mừng muốn khóc #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện"	"1,273"	64	2		
	Người dân nghèo VỠ OÀ CẢM XÚC hạnh phúc khi nhận được quà TẾT và nơi ở ấm cúng | Tập 603	"12,254"	467	25		
	Chị Cượng thật thà bị nói gì sau khi có nhà mới #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương	"1,942"	97	3		
	XÓT XA 2 vợ chồng bỗng dưng khóc NỨC NỞ khi nhìn thấy di ảnh của con trai | Tập 602	"7,862"	239	16		
	CÔ GÁI THẬT THÀ bị nhiều người nói sau khi có NHÀ MỚI vì lý do gì | Tập 601	"85,552"	"2,238"	117		
	Đến thăm cô gái thật thà nhất miền núi nhưng không có ở nhà #tiếnnguyễntv #thiệnnguyện	"8,246"	306	10		
	Người cha vui mừng vì có tiền mua thuốc cho con #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"28,562"	226	0		
	Chị Thuỷ đỏ mắt khi nhận được quà	"3,097"	79	3		
	Những câu nói đau lòng và ước mơ của cậu bé nghèo miền núi #tiếnnguyễntv #kếtnốiyêuthương	"2,516"	56	1		
	Cô gái trẻ mồ côi khóc NỨC NỞ vì con thơ mắc căn bệnh kì lạ #tiếnnguyễntv #kếtnốiyêuthương	"6,614"	79	3		
	Người cha BẤT NGỜ nhận được tiền TẾT để sử dụng mua thuốc cho con trai TÂM THẦN. | Tập 600	"5,843"	319	9		
	CÔ GÁI XINH ĐẸP khóc nức nở phải nuôi con có chứng bệnh kỳ lạ nhất miền núi | Tập 599	"18,797"	661	39		
	HÔM NAY TIẾN LÊN NÚI PHÁT QUÀ CHO TRẺ EM MIỀN NÚI #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"10,283"	194	2		
	Người bà sống trong căn chòi nát cùng 5 đứa cháu bị cha bỏ rơi #tiếnnguyễntv #kếtnốiyêuthương	"15,273"	183	5		
	Món ăn ngon nhất trong đời của những chú chó rừng #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"2,512"	43	1		
	“5 ĐỨA BÉ BỊ CHA RUỘT BỎ RƠI” sống trong căn chòi rách giữa rừng cùng ông bà | Tập 598	"8,661"	338	13		
	TIẾN bất ngờ TRÚNG SỐ và niềm vui của cô bé nghèo #thiệnnguyện #kếtnốiyêuthương #tiếnnguyễntv	"3,882"	205	3		
	3 MẸ CON bị chồng bỏ rơi giữa rừng BẤT NGỜ đổi đời chỉ sau một đêm | Tập 597	"34,739"	"1,512"	120		
	"TIẾN NGUYỄN bất ngờ TRÚNG SỐ, và hành trình mang niềm vui đến với 3 mẹ con nghèo | Tập 596"	"25,760"	921	62		
	Bữa ăn ngon nhất cuộc đời của gia đình 3 người PHỤ NỮ có KHỐI U khắp cơ thể | Tập 595	"8,398"	325	24		
	Chú ngỗng hung dữ nhất miền núi không ai dám lại gần #kếtnốiyêuthương #thiệnnguyện #tiếnnguyễntv	"3,163"	30	1		
	Màn đụng độ với THIÊN NGA BAY khi đến thăm vợ chồng ĐÔI ĐŨA LỆCH | Tập 594	"9,612"	309	12		
	Cô bé bật khóc khi không có cặp đến trường #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương #cuocsong	"11,424"	213	1		
	Bất ngờ trúng số đổi đời chỉ sau một đêm #tiếnnguyễntv #thiệnnguyện #kếtnốiyêuthương #cuocsong	"19,645"	623	15		
